Date,Predicted_Concentration
2025-06-17,12966.651773649155
2025-06-18,12924.03901096046
2025-06-19,12880.548316395283
2025-06-20,12853.204579188823
2025-06-21,12836.401826828718
2025-06-22,12822.864862365126
2025-06-23,12811.381394736767
2025-06-24,12801.833860854209
2025-06-25,12794.137467597424
2025-06-26,12788.052737041115
2025-06-27,12783.293113275766
2025-06-28,12779.579952658116
2025-06-29,12776.860638617574
2025-06-30,12774.852241699993
2025-07-01,12773.437001009284
2025-07-02,12772.541662147045
2025-07-03,12772.038178271056
2025-07-04,12771.73045704931
2025-07-05,12771.35350349784
2025-07-06,12770.965934322476
2025-07-07,12770.525616705418
2025-07-08,12770.123409837484
2025-07-09,12769.729115235805
2025-07-10,12769.318600488305
2025-07-11,12769.003362613617
2025-07-12,12768.700388751626
2025-07-13,12768.47785626322
2025-07-14,12768.524736440777
2025-07-15,12768.99657125175
2025-07-16,12769.891646371781
